"Name","Description","Price","Rating","Feedback"
"’олодильник LG GA-B509CEUM","Ўх¬х√: 59.50х203х68.20 смобщий объем: 384 лкласс энергопотреблени€: A++No Frostобъем холодильной камеры: 277 л",44455,4.9,6
"’олодильник LG DoorCooling+ GA-B 509PBAM","Ўх¬х√: 59.50х203х68.20 смобщий объем: 384 лкласс энергопотреблени€: A++No Frostобъем холодильной камеры: 277 л",60731,4.9,4
"’олодильник LG GC-L247 CBDC","Ўх¬х√: 91.20х179х73.80 смобщий объем: 601 лNo Frostобъем холодильной камеры: 405 лобъем морозильной камеры: 196 л",129990,5,5
"’олодильник Weissgauff WCD 337 NFX","Ўх¬х√: 79.50х180х61.20 смобщий объем: 404 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 225 л",59990,4.7,26
"’олодильник Weissgauff WRK 2000 XBNF","Ўх¬х√: 60х193.50х67 смобщий объем: 342 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 245 л",43990,4.8,19
"’олодильник LG DoorCooling+ GA-B509 SAUM","Ўх¬х√: 59.50х203х68.20 смобщий объем: 384 лкласс энергопотреблени€: A++No Frostобъем холодильной камеры: 277 л",42540,4.5,12
"’олодильник ATLANT ’ћ 4208-000","линейка: COMPACT 42 SerieЎх¬х√: 54.50х142.50х57.20 смобщий объем: 173 лкласс энергопотреблени€: Aкапельна€ система разморозки",14939,4.5,199
"’олодильник LG DoorCooling+ GA-B509 SVUM","Ўх¬х√: 59.50х203х68.20 смобщий объем: 384 лкласс энергопотреблени€: A++No Frostобъем холодильной камеры: 277 л",51390,4.5,8
"’олодильник Weissgauff WFD 486 NFX","Ўх¬х√: 63.50х185.50х69 смобщий объем: 356 лкласс энергопотреблени€: ANo Frostобъем холодильной камеры: 185 л",49990,4.5,22
"’олодильник Weissgauff WRK 2000 WNF","Ўх¬х√: 60х193.50х67 смобщий объем: 342 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 245 л",40990,4.7,29
"’олодильник Bosch KGN39UL22R","линейка: Serie 4Ўх¬х√: 60х203х66 смобщий объем: 388 лкласс энергопотреблени€: A+No Frost",41690,4.8,23
"’олодильник LG GA-B379 SLUL","Ўх¬х√: 59.50х173.70х65.50 смобщий объем: 261 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 182 л",32989,4.6,87
"’олодильник SCANDILUX R 091 W","Ўх¬х√: 52х88х54.40 смобщий объем: 88 лкласс энергопотреблени€: A+капельна€ система разморозкиобъем холодильной камеры: 78 л",14770,5,8
"’олодильник SCANDILUX SBS 711 Y02 W","Ўх¬х√: 119х186х65 смобщий объем: 660 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 380 л",99980,NA,NA
"’олодильник LG DoorCooling+ GA-B509SEUM","Ўх¬х√: 59.50х203х68.20 смобщий объем: 384 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 277 л",46990,4.7,5
"’олодильник LG GA-B509 CCIL","Ўх¬х√: 59.50х203х68.20 смобщий объем: 384 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 277 л",43470,4.4,7
"’олодильник LG DoorCooling+ GA-B509MEUM","Ўх¬х√: 59.50х203х68.20 смобщий объем: 384 лкласс энергопотреблени€: A++No Frostобъем холодильной камеры: 277 л",52000,5,3
"’олодильник LG DoorCooling+ GA-B509CCUM","Ўх¬х√: 59.50х203х68.20 смобщий объем: 384 лкласс энергопотреблени€: A++No Frostобъем холодильной камеры: 277 л",53500,5,2
"’олодильник Gorenje NRK 6191 ES4","Ўх¬х√: 60х185х59.20 смобщий объем: 302 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 203 л",27670,4.7,23
"’олодильник Weissgauff WCD 486 NFX","Ўх¬х√: 79.50х180х69.20 смобщий объем: 472 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 268 л",69990,4.8,23
"’олодильник LG DoorCooling+ GA-B459 CLCL","Ўх¬х√: 59.50х186х68.20 смобщий объем: 341 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 234 л",32024,4.6,9
"’олодильник Ѕирюса SBS 587 I","Ўх¬х√: 89.50х178.80х69 смобщий объем: 510 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 335 л",38990,4.7,18
"’олодильник LG GC-Q22FTAKL","Ўх¬х√: 83.50х178.70х73.40 смобщий объем: 458 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 315 л",101940,4.6,NA
"’олодильник LG DoorCooling+ GA-B459 SEKL","Ўх¬х√: 59.50х186х68.20 смобщий объем: 341 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 234 л",44990,4.5,21
"’олодильник LG DoorCooling+ GA-B509CQWL","Ўх¬х√: 59.50х203х68.20 смобщий объем: 384 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 277 л",32800,4.6,51
"’олодильник ATLANT ’ћ 6025-031","линейка: SOFT LINE 60 SerieЎх¬х√: 60х205х63 смобщий объем: 364 лкласс энергопотреблени€: Aкапельна€ система разморозки",27090,4.6,248
"’олодильник Bosch KGV36NL1AR","Ўх¬х√: 60х185х65 смобщий объем: 317 лкласс энергопотреблени€: Aкапельна€ система разморозкиобъем холодильной камеры: 223 л",27980,4.5,28
"’олодильник Weissgauff WRK 2000 XNF","Ўх¬х√: 60х193.50х67 смобщий объем: 342 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 245 л",42990,4.7,37
"’олодильник LG DoorCooling+ GC-Q22 FTBKL","Ўх¬х√: 83.50х178.70х73.40 смобщий объем: 458 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 315 л",122000,4.7,19
"’олодильник Ѕирюса 118","Ўх¬х√: 48х145х60.50 смобщий объем: 180 лкласс энергопотреблени€: Aкапельна€ система разморозкиобъем холодильной камеры: 125 л",13419,4.5,84
"’олодильник LG GA-B509 CBTL","Ўх¬х√: 59.50х203х68.20 смобщий объем: 384 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 277 л",56990,4.8,23
"’олодильник LG DoorCooling+ B509SBUM","Ўх¬х√: 59.50х203х68.20 смобщий объем: 384 лкласс энергопотреблени€: A++No Frostобъем холодильной камеры: 277 л",54400,4.3,10
"’олодильник Weissgauff WCD 486 NFB","Ўх¬х√: 79.50х180х69.20 смобщий объем: 401 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 268 л",69990,4.9,24
"’олодильник LG DoorCooling+ GA-B459 CECL ћраморный","Ўх¬х√: 59.50х186х68.20 смобщий объем: 341 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 234 л",36990,4.6,8
"’олодильник Haier CEF537AWG","Ўх¬х√: 59.50х200х65 смобщий объем: 368 лкласс энергопотреблени€: ANo Frostобъем холодильной камеры: 263 л",32920,4.8,7
"’олодильник Hotpoint-Ariston HFP 5200 W","Ўх¬х√: 60х200х64 смобщий объем: 324 лкласс энергопотреблени€: ANo Frostобъем холодильной камеры: 249 л",35470,4.6,56
"’олодильник LG DoorCooling+ GA-B459CQWL","Ўх¬х√: 59.50х186х68.20 смобщий объем: 341 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 234 л",36990,4.8,16
"’олодильник Weissgauff WCD 486 NFW","Ўх¬х√: 79х180х70 смобщий объем: 401 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 268 л",69990,4.6,15
"’олодильник LG DoorCooling+ GA-B509MAUM","Ўх¬х√: 59.50х203х68.20 смобщий объем: 384 лкласс энергопотреблени€: A++No Frostобъем холодильной камеры: 277 л",48990,NA,NA
"’олодильник ATLANT ’ћ 6023-031","линейка: SOFT LINE 60 SerieЎх¬х√: 60х195х63 смобщий объем: 359 лкласс энергопотреблени€: Aкапельна€ система разморозки",24590,4.7,128
"’олодильник Hyundai CS4502F","Ўх¬х√: 83.60х178х63.60 смобщий объем: 476 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 271 л",39899,4.8,11
"’олодильник Indesit ITF 020 B","Ўх¬х√: 60х200х64 смобщий объем: 324 лкласс энергопотреблени€: ANo Frostобъем холодильной камеры: 249 л",24360,4.8,2
"’олодильник Indesit DF 4160 W","Ўх¬х√: 60х167х64 смобщий объем: 256 лкласс энергопотреблени€: ANo Frostобъем холодильной камеры: 181 л",19550,4.5,60
"’олодильник Indesit DF 5180 W","Ўх¬х√: 60х185х64 смобщий объем: 298 лкласс энергопотреблени€: ANo Frostобъем холодильной камеры: 223 л",24280,4.7,10
"’олодильник Samsung RB-30 J3200SS","Ўх¬х√: 59.50х178х66.80 смобщий объем: 311 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 213 л",32890,4.6,59
"’олодильник Candy CCRN 6180 W","Ўх¬х√: 59.50х185х65.70 смобщий объем: 333 лкласс энергопотреблени€: ANo Frostобъем холодильной камеры: 227 л",24970,4.5,13
"’олодильник Samsung RB-30 J3000WW","Ўх¬х√: 59.50х178х66.80 смобщий объем: 311 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 213 л",28990,4.5,90
"’олодильник ATLANT ’ћ 4008-022","линейка: SOFT LINE 40 SerieЎх¬х√: 60х142х62.50 смобщий объем: 226 лкласс энергопотреблени€: Aкапельна€ система разморозки",17990,4.5,189
"’олодильник Indesit EF 16","Ўх¬х√: 60х167х64 смобщий объем: 256 лкласс энергопотреблени€: ANo Frostобъем холодильной камеры: 181 л",21980,4.6,67
"’олодильник Hotpoint-Ariston HFP 5200 W","Ўх¬х√: 60х200х64 смобщий объем: 324 лкласс энергопотреблени€: ANo Frostобъем холодильной камеры: 249 л",35730,4.6,56
"’олодильник Candy CCRN 6200 W","Ўх¬х√: 59.50х200х65.70 смобщий объем: 370 лкласс энергопотреблени€: ANo Frostобъем холодильной камеры: 264 л",28990,4.5,46
"’олодильник LG GA-B419 SQGL","Ўх¬х√: 59.50х190.70х65.50 смобщий объем: 302 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 223 л",36990,4.5,58
"’олодильник Ѕирюса CD 466 I","Ўх¬х√: 83.30х177.50х65.50 смобщий объем: 450 лкласс энергопотреблени€: ANo Frostобъем холодильной камеры: 297 л",39990,4.6,18
"’олодильник ATLANT ’ 2401-100","линейка: TABLE-TOPЎх¬х√: 55х85х58 смобщий объем: 120 лкласс энергопотреблени€: A+капельна€ система разморозки",13290,4.8,41
"’олодильник Bosch KGV36XW21R","Ўх¬х√: 60х185х65 смобщий объем: 317 лкласс энергопотреблени€: A+капельна€ система разморозкиобъем холодильной камеры: 223 л",26380,4.7,16
"’олодильник Samsung RB-30 J3200SS","Ўх¬х√: 59.50х178х66.80 смобщий объем: 311 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 213 л",32890,4.6,59
"’олодильник LG GA-B419 SWJL","Ўх¬х√: 59.50х190.70х65.50 смобщий объем: 302 лкласс энергопотреблени€: A+No Frostобъем холодильной камеры: 223 л",29000,4.5,40
"’олодильник ATLANT ’ћ 6021-031","линейка: SOFT LINE 60 SerieЎх¬х√: 60х186х63 смобщий объем: 345 лкласс энергопотреблени€: Aкапельна€ система разморозки",24090,4.5,129
"’олодильник LG DoorCooling+ GA-B509 MCUM","Ўх¬х√: 59.50х203х68.20 смобщий объем: 384 лкласс энергопотреблени€: A++No Frostобъем холодильной камеры: 277 л",59990,NA,NA
